latitude,longitude
33.498343,-112.083891
33.530837,-112.111751
33.391294,-111.978914
33.451719,-112.002461
33.443607,-112.096083
33.445092,-112.015902
33.469157,-112.01672
33.394202,-112.099181
33.455983,-112.091087
33.438841,-112.092647
33.526326,-112.117609
33.539536,-112.138825
33.477415,-112.001957
33.51263,-112.044879
33.453584,-112.086337
33.542475,-112.095077
33.414627,-112.068221
33.503924,-112.117924
33.655571,-112.074447
33.450493,-112.124081
33.544863,-112.134641
33.530711,-112.0583
33.588345,-112.117622
33.488197,-112.155733
33.386902,-112.156688
33.499751,-112.103603
33.531948,-112.150556
33.537084,-112.142999
33.464949,-112.139246
33.510554,-112.138304
33.576939,-112.053199
33.514177,-112.103893
33.58074,-111.96768
33.543089,-112.098811
33.378394,-111.992601
33.566931,-112.144526
33.522089,-112.129661
33.526349,-112.117205
33.501319,-112.133927
33.479438,-112.221293
33.507582,-112.166094
33.509297,-112.089206
33.50837366,-112.1683168
33.608878,-112.065189
33.50925,-112.038862
33.492575,-112.21493
33.582956,-112.132685
33.508902,-112.148081
33.473112,-111.962026
33.453706,-111.993036
33.575128,-112.093979
33.482743,-112.12253
33.483141,-112.122508
33.484097,-112.122669
33.495965,-112.108178
33.635458,-112.01563
33.389028,-112.156096
33.476133,-112.008771
33.406285,-112.06694
33.582655,-112.050149
33.499104,-112.12935
33.495276,-112.120344
33.525986,-112.117204
33.538919,-112.111045
33.58309533,-112.1520171
33.54843,-112.111813
33.486557,-112.135603
33.49452,-112.068991
33.513575,-112.084771
33.59744,-111.979608
33.558613,-112.066523
33.571583,-112.126013
33.378316,-111.994139
33.576838,-112.096902
33.558685,-112.066278
33.508544,-112.032947
33.449547,-112.01905
33.59666624,-112.1172876
33.431934,-112.083497
33.477908,-111.969383
33.577958,-112.09748
33.434749,-112.090513
33.481969,-112.035187
33.603382,-112.121378
33.576066,-112.057178
33.508229,-112.148088
33.525515,-112.117338
33.412296,-112.046703
33.413058,-112.046692
33.44951,-112.124306
33.450912,-112.100945
33.463053,-112.143794
33.511182,-112.043435
33.480009,-112.252282
33.437407,-112.06583
33.540124,-112.133848
33.503284,-112.140396
33.493904,-112.00444
33.582365,-112.121748
33.633258,-112.119686
33.552546,-112.125764
33.431353,-112.285055
33.536609,-112.116624
33.577942,-112.098519
33.49546,-112.155193
33.454342,-112.092945
33.495129,-112.129283
33.525995,-112.118393
33.466603,-112.009808
33.451973,-112.121494
33.479929,-112.048273
33.537926,-112.139332
33.490502,-112.071188
33.445899,-112.04182
33.446887,-112.040883
33.46290339,-112.0301613
33.577847,-112.086066
33.450484,-112.10263
33.566291,-112.06318
33.594211,-112.120573
33.484809,-112.007438
33.486675,-112.048067
33.43153,-112.088006
33.49572,-112.082136
33.447565,-112.114858
33.626693,-112.01424
33.575629,-112.061095
33.48227,-112.260355
33.522027,-112.102478
33.477582,-111.967746
33.686121,-112.115039
33.579997,-112.13471
33.495257,-112.160717
33.523974,-112.110642
33.446203,-112.10525
33.534169,-112.116896
33.523023,-112.114362
33.488343,-112.045304
33.465494,-112.082409
33.479299,-112.177406
33.488362,-112.21834
33.491055,-112.108173
33.449943,-111.96725
33.507594,-112.168466
33.479519,-112.204994
33.48,-112.205798
33.479975,-112.207388
33.39478,-112.083613
33.490704,-112.172157
33.455371,-112.064836
33.533657,-112.104082
33.48953,-112.062484
33.454941,-112.079089
33.549609,-112.134511
33.49678297,-111.9768072
33.45137659,-112.0194047
33.644975,-112.100677
33.46130337,-112.0302671
33.551285,-112.137601
33.625981,-112.119633
33.640104,-112.1304
33.450564,-112.093185
33.610265,-112.100766
33.576752,-112.097563
33.449435,-112.052044
33.6617,-112.096118
33.67002,-112.030316
33.389446,-112.034234
33.525844,-112.112658
33.570967,-112.086507
33.632247,-112.074847
33.496714,-112.135918
33.497025,-112.135796
33.509689,-112.039201
33.450562,-112.093447
33.472197,-112.027456
33.484988,-112.071972
33.483905,-112.073777
33.596395,-112.117448
33.512711,-112.051286
33.596709,-112.16812
33.463972,-112.07406
33.59612,-112.111289
33.380476,-112.139637
33.571513,-112.085207
33.596743,-112.12036
33.547402,-112.127109
33.495194,-112.083154
33.450572,-112.091829
33.446011,-112.088101
33.454058,-112.048063
33.576582,-112.057066
33.472441,-112.014884
33.698729,-111.942849
33.372831,-111.982202
33.64056,-112.082168
33.413406,-112.082585
33.677446,-112.113816
33.510243,-112.151941
33.552791,-112.115322
33.488927,-112.079364
33.595832,-112.003882
33.494926,-112.225098
33.625474,-112.082544
33.634015,-112.107738
33.502811,-112.238157
33.570945,-112.117129
33.467866,-112.155919
33.553269,-112.112355
33.466195,-112.035179
33.495498,-112.090422
33.463834,-112.030625
33.490818,-112.073295
33.475998,-112.029526
33.388778,-112.090833
33.385399,-112.062406
33.913977,-112.137539
33.37885,-112.008269
33.320175,-111.981002
33.479461,-112.168288
33.482514,-112.000345
33.47269,-112.218688
33.603765,-112.117055
33.441559,-112.097857
33.485234,-112.039985
33.553452,-112.100076
33.533787,-112.047774
33.498797,-112.104409
33.304711,-111.99677
33.378091,-112.135432
33.49488,-112.134214
33.428973,-112.081509
33.494913,-112.005627
33.424698,-111.987444
33.50452,-112.074158
33.426374,-112.075453
33.612377,-112.135204
33.566648,-112.068398
33.459824,-112.040012
33.68407,-112.11274
33.465934,-112.039211
33.596583,-112.147935
33.535915,-112.149264
33.398321,-112.073663
33.532491,-112.02913
33.463028,-112.082398
33.459975,-112.079963
33.509936,-112.094268
33.610525,-112.010889
33.465414,-112.02985
33.615387,-112.117301
33.523587,-112.114273
33.475076,-112.029859
33.524306,-112.092705
33.516216,-112.057084
33.487737,-112.041981
33.596771,-112.114546
33.509124,-112.129446
33.537985,-112.047839
33.465489,-112.03658
33.566436,-112.138621
33.461817,-112.064532
33.480318,-112.106488
33.451055,-112.122854
33.509916,-112.114546
33.612455,-112.008434
33.602115,-112.1
33.62537,-112.116717
33.49582,-112.102955
33.683581,-112.139976
33.488091,-112.130575
33.392638,-112.037961
33.596828,-112.115736
33.485264,-112.042547
33.493343,-111.972959
33.500975,-112.168533
33.62522,-112.116726
33.473628,-112.130096
33.53501,-112.133968
33.61205,-112.11116
33.681446,-112.134333
33.465986,-111.978744
33.549353,-112.099873
33.689029,-112.117733
33.509595,-112.074153
33.689086,-112.119433
33.479965,-112.253637
33.6398,-112.100158
33.586159,-112.105966
33.445696,-112.11351
33.52112,-112.117556
33.487126,-112.13498
33.677824,-112.02854
33.638798,-112.043322
33.573358,-112.063261
33.575102,-112.080819
33.492678,-112.212351
33.57147,-112.079497
33.454024,-112.089362
33.585939,-112.089236
33.589061,-112.115729
33.495385,-112.108747
33.509089,-112.169235
33.582083,-112.012683
33.576173,-112.061118
33.40961,-112.073039
33.639696,-112.040302
33.494648,-112.090219
33.392469,-112.145916
33.612043,-111.992011
33.391513,-112.14348
33.571066,-112.076176
33.640682,-112.069481
33.459979,-112.082327
33.643608,-112.114566
33.403941,-112.139473
33.581612,-112.151334
33.567819,-112.117592
33.490337,-112.203481
33.530843,-112.074152
33.458995,-112.072154
33.456881,-112.015299
33.429128,-112.093937
33.567932,-112.080043
33.538263,-112.115579
33.476372,-112.037725
33.468061,-112.234677
33.458804,-112.015271
33.447795,-112.016777
33.506653,-112.237873
33.549555,-112.111979
33.484651,-112.220889
33.446838,-111.967907
33.495236,-112.163046
33.684226,-112.135048
33.456396,-111.97168
33.578094,-112.128935
33.477721,-112.029877
33.489938,-112.133855
33.509097,-112.129667
33.506575,-112.104829
33.425506,-112.079469
33.507582,-112.166488
33.450007,-112.133883
33.4407,-112.077991
33.455084,-112.120594
33.50633,-112.238073
33.522961,-112.113188
33.508619,-112.281426
33.499078,-112.080827
33.461765,-112.203063
33.490855,-112.144687
33.63006,-112.078904
33.463032,-112.050043
33.489624,-112.120205
33.571174,-112.056402
33.494302,-112.220282
33.476849,-112.221199
33.509206,-112.095914
33.466955,-112.002264
33.62613,-112.094413
33.478814,-112.151936
33.599869,-112.109122
33.640058,-112.115762
33.665183,-112.108294
33.553383,-112.121072
33.459241,-112.183241
33.44859,-111.986776
33.463701,-112.068959
33.694144,-112.113387
33.4519,-111.955477
33.669303,-112.037273
33.405654,-112.064238
33.488444,-112.042164
33.544906,-112.088109
33.57472,-112.056375
33.552624,-112.108588
33.462495,-112.09543
33.479192,-111.969325
33.554431,-112.049247
33.495083,-112.041389
33.481799,-112.034396
33.628621,-112.128919
33.554244,-112.047541
33.868119,-112.154043
33.462851,-112.168866
33.645457,-112.039233
33.534364,-112.099922
33.458916,-112.064852
33.46542,-112.066096
33.572883,-112.087898
33.523638,-112.114816
33.500699,-112.10129
33.596771,-112.101894
33.383404,-112.046838
33.643063,-112.035406
33.494841,-112.238263
33.479703,-112.157467
33.378099,-112.038548
33.498028,-112.104327
33.61038,-112.145391
33.456992,-112.07734
33.38489,-112.161265
33.451551,-112.001847
33.392629,-112.135016
33.638583,-112.03758
33.639021,-112.0302
33.500099,-112.05598
33.585085,-112.151846
33.494383,-112.07926
33.442016,-112.046904
33.556814,-112.11051
33.608076,-112.017895
33.673122,-112.136414
33.465048,-112.091111
33.480833,-112.074446
33.471845,-112.029353
33.491795,-112.135937
33.633839,-112.041455
33.504473,-112.14265
33.469337,-111.977904
33.469109,-112.054038
33.474992,-112.072428
33.651262,-112.117376
33.640176,-112.121689
33.513365,-112.045425
33.377163,-112.003896
33.494465,-112.147783
33.604622,-111.99122
33.507954,-112.090939
33.640551,-112.091792
33.507391,-112.298105
33.558555,-112.038001
33.461045,-111.969768
33.456929,-112.075504
33.543141,-112.099285
33.610851,-112.117264
33.449836,-112.087364
33.473305,-112.01494
33.452407,-112.00193
33.464522,-112.029856
33.494412,-112.069985
33.439736,-112.095952
33.5103,-112.096017
33.61108,-112.150712
33.472502,-112.021894
33.48087,-112.154179
33.641644,-112.015987
33.640225,-112.119624
33.448669,-112.047203
33.459332,-112.131546
33.596724,-112.112666
33.582164,-112.11726
33.507838,-112.091529
33.459971,-112.084647
33.536023,-112.142627
33.571042,-112.08729
33.488753,-111.995812
33.455129,-112.047912
33.640955,-112.003881
33.495201,-112.082798
33.465965,-111.995256
33.593881,-112.021577
33.503643,-111.987052
33.665575,-112.15382
33.475049,-112.221169
33.452236,-112.211926
33.429083,-112.082582
33.62544,-112.116311
33.387992,-112.069159
33.571501,-112.118482
33.451558,-111.994947
33.428684,-112.065319
33.582002,-112.053894
33.624855,-112.099136
33.502307,-112.202309
33.397797,-112.069773
33.538291,-112.113868
33.376703,-112.176299
33.494374,-112.135376
33.655881,-111.986079
33.502503,-112.237433
33.632398,-112.03126
33.512651,-112.060449
33.451524,-112.103055
33.52381,-112.113112
33.477568,-112.031249
33.463297,-112.030794
33.458851,-112.070851
33.507831,-112.021312
33.50918,-112.023628
33.466171,-112.221213
33.480986,-112.117392
33.429164,-112.065025
33.396101,-112.138291
33.498294,-112.247501
33.640543,-112.091107
33.539065,-112.100236
33.504441,-112.048665
33.447728,-111.952673
33.391024,-112.134258
33.538551,-112.043526
33.422494,-111.986659
33.640027,-112.115923
33.654903,-111.981596
33.641631,-112.003854
33.521921,-112.237139
33.504977,-112.238153
33.640758,-112.113299
33.57261,-112.121271
33.543267,-112.038776
33.495192,-112.20366
33.684397,-112.06627
33.641057,-112.012974
33.65433,-112.112337
33.460121,-112.01488
33.698572,-112.143939
33.610572,-112.112157
33.539343,-112.116489
33.484046,-112.067403
33.462441,-112.091097
33.622895,-112.00724
33.395672,-112.039205
33.52201,-112.09925
33.501781,-112.237494
33.475969,-112.029937
33.477129,-112.208916
33.567971,-112.059291
33.494603,-112.117479
33.618781,-112.100521
33.383889,-112.158729
33.487351,-112.081899
33.472858,-112.029877
33.5833,-112.151945
33.577817,-112.047621
33.472709,-112.068329
33.429073,-112.082493
33.493418,-112.108782
33.677513,-111.978355
33.398214,-112.168846
33.442528,-112.097373
33.461478,-112.079512
33.461161,-112.02349
33.614179,-112.117326
33.523646,-112.11387
33.538832,-112.138828
33.448438,-112.018729
33.495076,-112.07847
33.390166,-112.142513
33.514075,-112.11582
33.491724,-112.07876
33.452942,-112.0839
33.670504,-112.031881
33.502644,-112.209274
33.582569,-112.09366
33.623264,-112.133394
33.49882,-112.10636
33.480265,-112.111729
33.373738,-112.134165
33.441069,-112.09941
33.460177,-112.072154
33.447883,-111.968527
33.665441,-112.153803
33.494962,-112.134225
33.551017,-112.117612
33.562426,-112.073688
33.460223,-112.068973
33.487869,-112.151244
33.451615,-112.085553
33.438584,-112.071844
33.443575,-112.126423
33.58946,-112.112265
33.443855,-112.134168
33.439859,-112.076516
33.495301,-112.125361
33.495321,-112.149747
33.654233,-112.15224
33.626018,-112.015282
33.37808,-112.064293
33.4954,-112.126619
33.427751,-112.078066
33.628283,-112.030102
33.463714,-112.066218
33.633222,-112.004907
33.377221,-112.066374
33.576533,-112.088867
33.667277,-112.134239
33.479735,-111.98216
33.622825,-112.012965
33.640094,-112.05535
33.65453879,-111.9258329
33.467289,-112.030597
33.67965,-112.134324
33.510373,-112.05397
33.650764,-112.114527
33.469382,-112.156285
33.448391,-112.037106
33.480085,-112.015962
33.64047,-112.096066
33.505961,-112.238286
33.466233,-112.191825
33.525126,-112.151972
33.46134,-112.091216
33.460662,-112.082718
33.465351,-112.073143
33.540551,-112.136125
33.585364,-112.15117
33.458232,-112.064738
33.510752,-112.074149
33.478309,-111.96986
33.469153,-112.016362
33.394133,-112.098866
33.455737,-112.090923
33.588342,-112.117077
33.536981,-112.142599
33.378376,-111.993088
33.509151,-112.088807
33.49267,-112.214958
33.635587,-112.015879
33.596658,-112.117149
33.575764,-112.056849
33.480199,-112.25239
33.552369,-112.125851
33.495456,-112.129359
33.490365,-112.071285
33.534267,-112.116675
33.534242,-112.10373
33.454918,-112.07931
33.497043,-111.976976
33.451084,-112.019032
33.525868,-112.112552
33.512595,-112.05115
39.97516312,-75.19489864
39.93770558,-75.15083031
39.9957604,-75.11494516
39.99570662,-75.11504291
40.00404949,-75.09723373
39.95895788,-75.17553641
39.98354379,-75.12622428
40.04837385,-75.04860524
39.97216543,-75.12110521
40.05681912,-75.04700432
39.99703107,-75.11369401
39.99406695,-75.11699762
39.97257669,-75.12398576
39.94153003,-75.1831335
39.90584091,-75.24036312
39.99309108,-75.11815494
39.92852631,-75.16869247
39.98906566,-75.12688691
39.97719587,-75.13965742
39.92062003,-75.15951007
39.98336106,-75.09977293
39.95262999,-75.15626499
39.95302957,-75.17807187
39.9494162,-75.14745643
40.02627586,-75.11456676
39.9527231,-75.17866072
40.08070216,-74.96236298
39.95212819,-75.14335817
40.02621424,-75.11456621
39.99613855,-75.11379801
39.99594537,-75.11004744
39.97295144,-75.11961885
39.96916137,-75.13394761
39.96677759,-75.14024494
40.0490649,-75.05083819
40.04914837,-75.05003995
40.04704007,-75.05136881
40.04922028,-75.05042128
40.04941014,-75.05082407
40.04885506,-75.0451504
39.99402879,-75.11392435
39.96694943,-75.20153256
39.99577861,-75.11357899
39.99408208,-75.0957593
40.04601445,-75.04452536
39.96428494,-75.14055724
39.9816613,-75.11685436
40.04964868,-75.24123308
39.99051441,-75.10413051
39.95522965,-75.21069902
39.98396092,-75.12820065
39.98606087,-75.14131216
